Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (32457 already done, 17543 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'qwen' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5: already complete, skipping ---
--- Round 3/5: already complete, skipping ---
--- Round 4/5 (2457 done, 7543 remaining) ---
[32458/50000] 2026-06-28 16:29:01 | R4 | bubblesort/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[37340/50000] 2026-06-28 17:20:03 | R4 | railroadcar/test_0_orig_no_procyon vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[37341/50000] 2026-06-28 17:20:04 | R4 | railroadcar/test_0_orig_no_procyon vs hanoi/0_orig → NON-CLONE
[37342/50000] 2026-06-28 17:20:04 | R4 | railroadcar/test_0_orig_no_procyon vs hanoi/1_artifice → NON-CLONE
[37343/50000] 2026-06-28 17:20:05 | R4 | railroadcar/test_0_orig_no_procyon vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[37344/50000] 2026-06-28 17:20:06 | R4 | railroadcar/test_0_orig_no_procyon vs hanoi/test_0_orig_no_procyon → NON-CLONE
[37345/50000] 2026-06-28 17:20:06 | R4 | railroadcar/test_0_orig_no_procyon vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[37346/50000] 2026-06-28 17:20:07 | R4 | railroadcar/test_0_orig_no_procyon vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[37347/50000] 2026-06-28 17:20:07 | R4 | railroadcar/test_0_orig_no_procyon vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[37348/50000] 2026-06-28 17:20:08 | R4 | railroadcar/test_0_orig_no_procyon vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[37349/50000] 2026-06-28 17:20:09 | R4 | railroadcar/test_0_orig_no_procyon vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[37350/50000] 2026-06-28 17:20:09 | R4 | railroadcar/test_0_orig_no_procyon vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[37351/50000] 2026-06-28 17:20:10 | R4 | railroadcar/test_0_orig_no_procyon vs kaprekar/0_orig → NON-CLONE
[37352/50000] 2026-06-28 17:20:10 | R4 | railroadcar/test_0_orig_no_procyon vs kaprekar/1_artifice → NON-CLONE
[37353/50000] 2026-06-28 17:20:11 | R4 | railroadcar/test_0_orig_no_procyon vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[37354/50000] 2026-06-28 17:20:11 | R4 | railroadcar/test_0_orig_no_procyon vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[37355/50000] 2026-06-28 17:20:12 | R4 | railroadcar/test_0_orig_no_procyon vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[37356/50000] 2026-06-28 17:20:12 | R4 | railroadcar/test_0_orig_no_procyon vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[37357/50000] 2026-06-28 17:20:13 | R4 | railroadcar/test_0_orig_no_procyon vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[37358/50000] 2026-06-28 17:20:14 | R4 | railroadcar/test_0_orig_no_procyon vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[37359/50000] 2026-06-28 17:20:14 | R4 | railroadcar/test_0_orig_no_procyon vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[37360/50000] 2026-06-28 17:20:15 | R4 | railroadcar/test_0_orig_no_procyon vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[37361/50000] 2026-06-28 17:20:15 | R4 | railroadcar/test_0_orig_no_procyon vs queens/0_orig → NON-CLONE
[37362/50000] 2026-06-28 17:20:16 | R4 | railroadcar/test_0_orig_no_procyon vs queens/1_artifice → NON-CLONE
[37363/50000] 2026-06-28 17:20:16 | R4 | railroadcar/test_0_orig_no_procyon vs queens/test_0_orig_no_krakatau → NON-CLONE
[37364/50000] 2026-06-28 17:20:17 | R4 | railroadcar/test_0_orig_no_procyon vs queens/test_0_orig_no_procyon → NON-CLONE
[37365/50000] 2026-06-28 17:20:17 | R4 | railroadcar/test_0_orig_no_procyon vs queens/test_0_orig_pg_krakatau → NON-CLONE
[37366/50000] 2026-06-28 17:20:18 | R4 | railroadcar/test_0_orig_no_procyon vs queens/test_0_orig_pg_procyon → NON-CLONE
[37367/50000] 2026-06-28 17:20:18 | R4 | railroadcar/test_0_orig_no_procyon vs queens/test_1_artifice_no_krakatau → NON-CLONE
[37368/50000] 2026-06-28 17:20:19 | R4 | railroadcar/test_0_orig_no_procyon vs queens/test_1_artifice_no_procyon → NON-CLONE
[37369/50000] 2026-06-28 17:20:19 | R4 | railroadcar/test_0_orig_no_procyon vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[37370/50000] 2026-06-28 17:20:20 | R4 | railroadcar/test_0_orig_no_procyon vs queens/test_1_artifice_pg_procyon → NON-CLONE
[37371/50000] 2026-06-28 17:20:20 | R4 | railroadcar/test_0_orig_no_procyon vs railroadcar/0_orig → CLONE
[37372/50000] 2026-06-28 17:20:21 | R4 | railroadcar/test_0_orig_no_procyon vs railroadcar/1_artifice → CLONE
[37373/50000] 2026-06-28 17:20:21 | R4 | railroadcar/test_0_orig_no_procyon vs railroadcar/test_0_orig_no_krakatau → CLONE
[37374/50000] 2026-06-28 17:20:22 | R4 | railroadcar/test_0_orig_no_procyon vs railroadcar/test_0_orig_no_procyon → CLONE
[37375/50000] 2026-06-28 17:20:23 | R4 | railroadcar/test_0_orig_no_procyon vs railroadcar/test_0_orig_pg_krakatau → CLONE
[37376/50000] 2026-06-28 17:20:23 | R4 | railroadcar/test_0_orig_no_procyon vs railroadcar/test_0_orig_pg_procyon → CLONE
[37377/50000] 2026-06-28 17:20:24 | R4 | railroadcar/test_0_orig_no_procyon vs railroadcar/test_1_artifice_no_krakatau → CLONE
[37378/50000] 2026-06-28 17:20:25 | R4 | railroadcar/test_0_orig_no_procyon vs railroadcar/test_1_artifice_no_procyon → CLONE
[37379/50000] 2026-06-28 17:20:25 | R4 | railroadcar/test_0_orig_no_procyon vs railroadcar/test_1_artifice_pg_krakatau → CLONE
[37380/50000] 2026-06-28 17:20:26 | R4 | railroadcar/test_0_orig_no_procyon vs railroadcar/test_1_artifice_pg_procyon → CLONE
[37381/50000] 2026-06-28 17:20:26 | R4 | railroadcar/test_0_orig_no_procyon vs slinkedlist/0_orig → NON-CLONE
[37382/50000] 2026-06-28 17:20:27 | R4 | railroadcar/test_0_orig_no_procyon vs slinkedlist/1_artifice → NON-CLONE
[37383/50000] 2026-06-28 17:20:27 | R4 | railroadcar/test_0_orig_no_procyon vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[37384/50000] 2026-06-28 17:20:28 | R4 | railroadcar/test_0_orig_no_procyon vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[37385/50000] 2026-06-28 17:20:29 | R4 | railroadcar/test_0_orig_no_procyon vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[37386/50000] 2026-06-28 17:20:29 | R4 | railroadcar/test_0_orig_no_procyon vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[37387/50000] 2026-06-28 17:20:30 | R4 | railroadcar/test_0_orig_no_procyon vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[37388/50000] 2026-06-28 17:20:30 | R4 | railroadcar/test_0_orig_no_procyon vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[37389/50000] 2026-06-28 17:20:31 | R4 | railroadcar/test_0_orig_no_procyon vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[37390/50000] 2026-06-28 17:20:31 | R4 | railroadcar/test_0_orig_no_procyon vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[37391/50000] 2026-06-28 17:20:32 | R4 | railroadcar/test_0_orig_no_procyon vs square/0_orig → NON-CLONE
[37392/50000] 2026-06-28 17:20:32 | R4 | railroadcar/test_0_orig_no_procyon vs square/1_artifice → NON-CLONE
[37393/50000] 2026-06-28 17:20:33 | R4 | railroadcar/test_0_orig_no_procyon vs square/test_0_orig_no_krakatau → NON-CLONE
[37394/50000] 2026-06-28 17:20:34 | R4 | railroadcar/test_0_orig_no_procyon vs square/test_0_orig_no_procyon → NON-CLONE
[37395/50000] 2026-06-28 17:20:34 | R4 | railroadcar/test_0_orig_no_procyon vs square/test_0_orig_pg_krakatau → NON-CLONE
[37396/50000] 2026-06-28 17:20:35 | R4 | railroadcar/test_0_orig_no_procyon vs square/test_0_orig_pg_procyon → NON-CLONE
[37397/50000] 2026-06-28 17:20:35 | R4 | railroadcar/test_0_orig_no_procyon vs square/test_1_artifice_no_krakatau → NON-CLONE
[37398/50000] 2026-06-28 17:20:36 | R4 | railroadcar/test_0_orig_no_procyon vs square/test_1_artifice_no_procyon → NON-CLONE
[37399/50000] 2026-06-28 17:20:37 | R4 | railroadcar/test_0_orig_no_procyon vs square/test_1_artifice_pg_krakatau → NON-CLONE
[37400/50000] 2026-06-28 17:20:37 | R4 | railroadcar/test_0_orig_no_procyon vs square/test_1_artifice_pg_procyon → NON-CLONE
[37401/50000] 2026-06-28 17:20:38 | R4 | railroadcar/test_0_orig_pg_krakatau vs InfixConverter/0_orig → NON-CLONE
[37402/50000] 2026-06-28 17:20:38 | R4 | railroadcar/test_0_orig_pg_krakatau vs InfixConverter/1_artifice → NON-CLONE
[37403/50000] 2026-06-28 17:20:39 | R4 | railroadcar/test_0_orig_pg_krakatau vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[37404/50000] 2026-06-28 17:20:39 | R4 | railroadcar/test_0_orig_pg_krakatau vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[37405/50000] 2026-06-28 17:20:40 | R4 | railroadcar/test_0_orig_pg_krakatau vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[37406/50000] 2026-06-28 17:20:41 | R4 | railroadcar/test_0_orig_pg_krakatau vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[37407/50000] 2026-06-28 17:20:41 | R4 | railroadcar/test_0_orig_pg_krakatau vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[37408/50000] 2026-06-28 17:20:42 | R4 | railroadcar/test_0_orig_pg_krakatau vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[37409/50000] 2026-06-28 17:20:42 | R4 | railroadcar/test_0_orig_pg_krakatau vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[37410/50000] 2026-06-28 17:20:43 | R4 | railroadcar/test_0_orig_pg_krakatau vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[37411/50000] 2026-06-28 17:20:43 | R4 | railroadcar/test_0_orig_pg_krakatau vs SqrtAlgorithm/0_orig → NON-CLONE
[37412/50000] 2026-06-28 17:20:44 | R4 | railroadcar/test_0_orig_pg_krakatau vs SqrtAlgorithm/1_artifice → NON-CLONE
[37413/50000] 2026-06-28 17:20:44 | R4 | railroadcar/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[37414/50000] 2026-06-28 17:20:45 | R4 | railroadcar/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[37415/50000] 2026-06-28 17:20:46 | R4 | railroadcar/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[37416/50000] 2026-06-28 17:20:46 | R4 | railroadcar/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[37417/50000] 2026-06-28 17:20:47 | R4 | railroadcar/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[37418/50000] 2026-06-28 17:20:47 | R4 | railroadcar/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[37419/50000] 2026-06-28 17:20:48 | R4 | railroadcar/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[37420/50000] 2026-06-28 17:20:49 | R4 | railroadcar/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[37421/50000] 2026-06-28 17:20:49 | R4 | railroadcar/test_0_orig_pg_krakatau vs bubblesort/0_orig → NON-CLONE
[37422/50000] 2026-06-28 17:20:50 | R4 | railroadcar/test_0_orig_pg_krakatau vs bubblesort/1_artifice → NON-CLONE
[37423/50000] 2026-06-28 17:20:50 | R4 | railroadcar/test_0_orig_pg_krakatau vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[37424/50000] 2026-06-28 17:20:51 | R4 | railroadcar/test_0_orig_pg_krakatau vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[37425/50000] 2026-06-28 17:20:51 | R4 | railroadcar/test_0_orig_pg_krakatau vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[37426/50000] 2026-06-28 17:20:52 | R4 | railroadcar/test_0_orig_pg_krakatau vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[37427/50000] 2026-06-28 17:20:52 | R4 | railroadcar/test_0_orig_pg_krakatau vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[37428/50000] 2026-06-28 17:20:53 | R4 | railroadcar/test_0_orig_pg_krakatau vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[37429/50000] 2026-06-28 17:20:53 | R4 | railroadcar/test_0_orig_pg_krakatau vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[37430/50000] 2026-06-28 17:20:54 | R4 | railroadcar/test_0_orig_pg_krakatau vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[37431/50000] 2026-06-28 17:20:54 | R4 | railroadcar/test_0_orig_pg_krakatau vs guessword/0_orig → NON-CLONE
[37432/50000] 2026-06-28 17:20:55 | R4 | railroadcar/test_0_orig_pg_krakatau vs guessword/1_artifice → NON-CLONE
[37433/50000] 2026-06-28 17:20:56 | R4 | railroadcar/test_0_orig_pg_krakatau vs guessword/test_0_orig_no_krakatau → NON-CLONE
[37434/50000] 2026-06-28 17:20:56 | R4 | railroadcar/test_0_orig_pg_krakatau vs guessword/test_0_orig_no_procyon → NON-CLONE
[37435/50000] 2026-06-28 17:20:57 | R4 | railroadcar/test_0_orig_pg_krakatau vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[37436/50000] 2026-06-28 17:20:57 | R4 | railroadcar/test_0_orig_pg_krakatau vs guessword/test_0_orig_pg_procyon → NON-CLONE
[37437/50000] 2026-06-28 17:20:58 | R4 | railroadcar/test_0_orig_pg_krakatau vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[37438/50000] 2026-06-28 17:20:58 | R4 | railroadcar/test_0_orig_pg_krakatau vs guessword/test_1_artifice_no_procyon → NON-CLONE
[37439/50000] 2026-06-28 17:20:59 | R4 | railroadcar/test_0_orig_pg_krakatau vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[37440/50000] 2026-06-28 17:20:59 | R4 | railroadcar/test_0_orig_pg_krakatau vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[37441/50000] 2026-06-28 17:21:00 | R4 | railroadcar/test_0_orig_pg_krakatau vs hanoi/0_orig → NON-CLONE
[37442/50000] 2026-06-28 17:21:00 | R4 | railroadcar/test_0_orig_pg_krakatau vs hanoi/1_artifice → NON-CLONE
[37443/50000] 2026-06-28 17:21:01 | R4 | railroadcar/test_0_orig_pg_krakatau vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[37444/50000] 2026-06-28 17:21:02 | R4 | railroadcar/test_0_orig_pg_krakatau vs hanoi/test_0_orig_no_procyon → NON-CLONE
[37445/50000] 2026-06-28 17:21:02 | R4 | railroadcar/test_0_orig_pg_krakatau vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[37446/50000] 2026-06-28 17:21:03 | R4 | railroadcar/test_0_orig_pg_krakatau vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[37447/50000] 2026-06-28 17:21:04 | R4 | railroadcar/test_0_orig_pg_krakatau vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[37448/50000] 2026-06-28 17:21:04 | R4 | railroadcar/test_0_orig_pg_krakatau vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[37449/50000] 2026-06-28 17:21:05 | R4 | railroadcar/test_0_orig_pg_krakatau vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[37450/50000] 2026-06-28 17:21:05 | R4 | railroadcar/test_0_orig_pg_krakatau vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[37451/50000] 2026-06-28 17:21:06 | R4 | railroadcar/test_0_orig_pg_krakatau vs kaprekar/0_orig → NON-CLONE
[37452/50000] 2026-06-28 17:21:07 | R4 | railroadcar/test_0_orig_pg_krakatau vs kaprekar/1_artifice → NON-CLONE
[37453/50000] 2026-06-28 17:21:07 | R4 | railroadcar/test_0_orig_pg_krakatau vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[37454/50000] 2026-06-28 17:21:08 | R4 | railroadcar/test_0_orig_pg_krakatau vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[37455/50000] 2026-06-28 17:21:08 | R4 | railroadcar/test_0_orig_pg_krakatau vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[37456/50000] 2026-06-28 17:21:09 | R4 | railroadcar/test_0_orig_pg_krakatau vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[37457/50000] 2026-06-28 17:21:09 | R4 | railroadcar/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[37458/50000] 2026-06-28 17:21:10 | R4 | railroadcar/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[37459/50000] 2026-06-28 17:21:10 | R4 | railroadcar/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[37460/50000] 2026-06-28 17:21:11 | R4 | railroadcar/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[37461/50000] 2026-06-28 17:21:11 | R4 | railroadcar/test_0_orig_pg_krakatau vs queens/0_orig → NON-CLONE
[37462/50000] 2026-06-28 17:21:12 | R4 | railroadcar/test_0_orig_pg_krakatau vs queens/1_artifice → NON-CLONE
[37463/50000] 2026-06-28 17:21:12 | R4 | railroadcar/test_0_orig_pg_krakatau vs queens/test_0_orig_no_krakatau → NON-CLONE
[37464/50000] 2026-06-28 17:21:13 | R4 | railroadcar/test_0_orig_pg_krakatau vs queens/test_0_orig_no_procyon → NON-CLONE
[37465/50000] 2026-06-28 17:21:13 | R4 | railroadcar/test_0_orig_pg_krakatau vs queens/test_0_orig_pg_krakatau → NON-CLONE
[37466/50000] 2026-06-28 17:21:14 | R4 | railroadcar/test_0_orig_pg_krakatau vs queens/test_0_orig_pg_procyon → NON-CLONE
[37467/50000] 2026-06-28 17:21:14 | R4 | railroadcar/test_0_orig_pg_krakatau vs queens/test_1_artifice_no_krakatau → NON-CLONE
[37468/50000] 2026-06-28 17:21:15 | R4 | railroadcar/test_0_orig_pg_krakatau vs queens/test_1_artifice_no_procyon → NON-CLONE
[37469/50000] 2026-06-28 17:21:15 | R4 | railroadcar/test_0_orig_pg_krakatau vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[37470/50000] 2026-06-28 17:21:16 | R4 | railroadcar/test_0_orig_pg_krakatau vs queens/test_1_artifice_pg_procyon → NON-CLONE
[37471/50000] 2026-06-28 17:21:16 | R4 | railroadcar/test_0_orig_pg_krakatau vs railroadcar/0_orig → CLONE
[37472/50000] 2026-06-28 17:21:17 | R4 | railroadcar/test_0_orig_pg_krakatau vs railroadcar/1_artifice → CLONE
[37473/50000] 2026-06-28 17:21:18 | R4 | railroadcar/test_0_orig_pg_krakatau vs railroadcar/test_0_orig_no_krakatau → CLONE
[37474/50000] 2026-06-28 17:21:18 | R4 | railroadcar/test_0_orig_pg_krakatau vs railroadcar/test_0_orig_no_procyon → CLONE
[37475/50000] 2026-06-28 17:21:19 | R4 | railroadcar/test_0_orig_pg_krakatau vs railroadcar/test_0_orig_pg_krakatau → CLONE
[37476/50000] 2026-06-28 17:21:19 | R4 | railroadcar/test_0_orig_pg_krakatau vs railroadcar/test_0_orig_pg_procyon → CLONE
[37477/50000] 2026-06-28 17:21:20 | R4 | railroadcar/test_0_orig_pg_krakatau vs railroadcar/test_1_artifice_no_krakatau → CLONE
[37478/50000] 2026-06-28 17:21:21 | R4 | railroadcar/test_0_orig_pg_krakatau vs railroadcar/test_1_artifice_no_procyon → CLONE
[37479/50000] 2026-06-28 17:21:21 | R4 | railroadcar/test_0_orig_pg_krakatau vs railroadcar/test_1_artifice_pg_krakatau → CLONE
[37480/50000] 2026-06-28 17:21:22 | R4 | railroadcar/test_0_orig_pg_krakatau vs railroadcar/test_1_artifice_pg_procyon → CLONE
[37481/50000] 2026-06-28 17:21:22 | R4 | railroadcar/test_0_orig_pg_krakatau vs slinkedlist/0_orig → NON-CLONE
[37482/50000] 2026-06-28 17:21:23 | R4 | railroadcar/test_0_orig_pg_krakatau vs slinkedlist/1_artifice → NON-CLONE
[37483/50000] 2026-06-28 17:21:23 | R4 | railroadcar/test_0_orig_pg_krakatau vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[37484/50000] 2026-06-28 17:21:24 | R4 | railroadcar/test_0_orig_pg_krakatau vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[37485/50000] 2026-06-28 17:21:25 | R4 | railroadcar/test_0_orig_pg_krakatau vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[37486/50000] 2026-06-28 17:21:25 | R4 | railroadcar/test_0_orig_pg_krakatau vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[37487/50000] 2026-06-28 17:21:26 | R4 | railroadcar/test_0_orig_pg_krakatau vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[37488/50000] 2026-06-28 17:21:26 | R4 | railroadcar/test_0_orig_pg_krakatau vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[37489/50000] 2026-06-28 17:21:27 | R4 | railroadcar/test_0_orig_pg_krakatau vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[37490/50000] 2026-06-28 17:21:27 | R4 | railroadcar/test_0_orig_pg_krakatau vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[37491/50000] 2026-06-28 17:21:28 | R4 | railroadcar/test_0_orig_pg_krakatau vs square/0_orig → NON-CLONE
[37492/50000] 2026-06-28 17:21:28 | R4 | railroadcar/test_0_orig_pg_krakatau vs square/1_artifice → NON-CLONE
[37493/50000] 2026-06-28 17:21:29 | R4 | railroadcar/test_0_orig_pg_krakatau vs square/test_0_orig_no_krakatau → NON-CLONE
[37494/50000] 2026-06-28 17:21:29 | R4 | railroadcar/test_0_orig_pg_krakatau vs square/test_0_orig_no_procyon → NON-CLONE
[37495/50000] 2026-06-28 17:21:30 | R4 | railroadcar/test_0_orig_pg_krakatau vs square/test_0_orig_pg_krakatau → NON-CLONE
[37496/50000] 2026-06-28 17:21:31 | R4 | railroadcar/test_0_orig_pg_krakatau vs square/test_0_orig_pg_procyon → NON-CLONE
[37497/50000] 2026-06-28 17:21:31 | R4 | railroadcar/test_0_orig_pg_krakatau vs square/test_1_artifice_no_krakatau → NON-CLONE
[37498/50000] 2026-06-28 17:21:32 | R4 | railroadcar/test_0_orig_pg_krakatau vs square/test_1_artifice_no_procyon → NON-CLONE
[37499/50000] 2026-06-28 17:21:32 | R4 | railroadcar/test_0_orig_pg_krakatau vs square/test_1_artifice_pg_krakatau → NON-CLONE
[37500/50000] 2026-06-28 17:21:33 | R4 | railroadcar/test_0_orig_pg_krakatau vs square/test_1_artifice_pg_procyon → NON-CLONE
[37501/50000] 2026-06-28 17:21:33 | R4 | railroadcar/test_0_orig_pg_procyon vs InfixConverter/0_orig → NON-CLONE
[37502/50000] 2026-06-28 17:21:34 | R4 | railroadcar/test_0_orig_pg_procyon vs InfixConverter/1_artifice → NON-CLONE
[37503/50000] 2026-06-28 17:21:35 | R4 | railroadcar/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[37504/50000] 2026-06-28 17:21:35 | R4 | railroadcar/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[37505/50000] 2026-06-28 17:21:36 | R4 | railroadcar/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[37506/50000] 2026-06-28 17:21:36 | R4 | railroadcar/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[37507/50000] 2026-06-28 17:21:37 | R4 | railroadcar/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[37508/50000] 2026-06-28 17:21:37 | R4 | railroadcar/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[37509/50000] 2026-06-28 17:21:38 | R4 | railroadcar/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[37510/50000] 2026-06-28 17:21:38 | R4 | railroadcar/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[37511/50000] 2026-06-28 17:21:39 | R4 | railroadcar/test_0_orig_pg_procyon vs SqrtAlgorithm/0_orig → NON-CLONE
